Wk,Day,Date,Home,xG,Score,xG,Away,Attendance,Venue,Referee
14,Sat,12/1/18,Fiorentina,1.3,0–3,1.9,Juventus,40872,Stadio Artemio Franchi,Daniele Orsato
14,Sat,12/1/18,Sampdoria,1.5,4–1,1.4,Bologna,17844,Stadio Comunale Luigi Ferraris,Rosario Abisso
14,Sun,12/2/18,Milan,1.6,2–1,1.1,Parma,53275,Stadio Giuseppe Meazza,Giampaolo Calvarese
14,Sun,12/2/18,Torino,2.3,2–1,1.3,Genoa,15324,Stadio Olimpico di Torino,Maurizio Mariani
14,Sun,12/2/18,Sassuolo,1.8,0–0,0.2,Udinese,10655,Stadio Città del Tricolore,Marco Guida
14,Sun,12/2/18,Frosinone,1.9,1–1,2.1,Cagliari,12377,Stadio Benito Stirpe,Marco Serra
14,Sun,12/2/18,Chievo,1,1–1,1.5,Lazio,7000,Stadio Marc'Antonio Bentegodi,Fabio Maresca
14,Sun,12/2/18,Roma,1.6,2–2,2.2,Inter,41009,Stadio Olimpico,Gianluca Rocchi
14,Mon,12/3/18,Atalanta,0.9,1–2,1.7,Napoli,19871,Stadio Atleti Azzurri d'Italia,Piero Giacomelli
,,,,,,,,,,
15,Fri,12/7/18,Juventus,1.5,1–0,1,Inter,41495,Allianz Stadium,Massimiliano Irrati
15,Sat,12/8/18,Napoli,2.2,4–0,0.3,Frosinone,34631,Stadio San Paolo,Gianluca Manganiello
15,Sat,12/8/18,Cagliari,2.1,2–2,1.4,Roma,14938,Sardegna Arena,Paolo Mazzoleni
15,Sat,12/8/18,Lazio,3.5,2–2,0.8,Sampdoria,28000,Stadio Olimpico,Davide Massa
15,Sun,12/9/18,Sassuolo,1.4,3–3,2.3,Fiorentina,11436,Stadio Città del Tricolore,Daniele Chiffi
15,Sun,12/9/18,Parma,1.3,1–1,1.5,Chievo,13994,Stadio Ennio Tardini,Federico La Penna
15,Sun,12/9/18,Udinese,0.8,1–3,2.1,Atalanta,24413,Dacia Arena,Giampaolo Calvarese
15,Sun,12/9/18,Empoli,1.6,2–1,1.8,Bologna,8379,Stadio Carlo Castellani,Paolo Valeri
15,Sun,12/9/18,Genoa,1.3,1–1,2.5,SPAL,19571,Stadio Comunale Luigi Ferraris,Fabrizio Pasqua
15,Sun,12/9/18,Milan,2,0–0,1.2,Torino,44572,Stadio Giuseppe Meazza,Daniele Orsato
,,,,,,,,,,
16,Sat,12/15/18,Inter,2,1–0,0.4,Udinese,57025,Stadio Giuseppe Meazza,Rosario Abisso
16,Sat,12/15/18,Torino,0.4,0–1,1.5,Juventus,26588,Stadio Olimpico di Torino,Marco Guida
16,Sun,12/16/18,SPAL,0.7,0–0,0.7,Chievo,11882,Stadio Paolo Mazza,Luca Banti
16,Sun,12/16/18,Sampdoria,1.4,2–0,0.4,Parma,19000,Stadio Comunale Luigi Ferraris,Luca Pairetto
16,Sun,12/16/18,Frosinone,0.4,0–2,1.4,Sassuolo,12000,Stadio Benito Stirpe,Eugenio Abbattista
16,Sun,12/16/18,Fiorentina,1.6,3–1,1.1,Empoli,30000,Stadio Artemio Franchi,Piero Giacomelli
16,Sun,12/16/18,Cagliari,0.5,0–1,1.7,Napoli,15081,Sardegna Arena,Daniele Doveri
16,Sun,12/16/18,Roma,1.9,3–2,2.2,Genoa,29111,Stadio Olimpico,Marco Di Bello
16,Mon,12/17/18,Atalanta,0.5,1–0,1,Lazio,17401,Stadio Atleti Azzurri d'Italia,Daniele Orsato
16,Tue,12/18/18,Bologna,0.4,0–0,0.7,Milan,22214,Stadio Renato Dall'Ara,Fabio Maresca
,,,,,,,,,,
17,Sat,12/22/18,Lazio,2.4,3–1,1.9,Cagliari,20000,Stadio Olimpico,Gianluca Manganiello
17,Sat,12/22/18,Napoli,2.4,1–0,0.6,SPAL,37093,Stadio San Paolo,Federico La Penna
17,Sat,12/22/18,Sassuolo,1.5,1–1,0.3,Torino,11148,Stadio Città del Tricolore,Luca Banti
17,Sat,12/22/18,Genoa,1.6,3–1,2,Atalanta,19841,Stadio Comunale Luigi Ferraris,Daniele Doveri
17,Sat,12/22/18,Empoli,1.5,2–4,1.1,Sampdoria,8815,Stadio Carlo Castellani,Giampaolo Calvarese
17,Sat,12/22/18,Udinese,0.4,1–1,1.2,Frosinone,18000,Dacia Arena,Paolo Valeri
17,Sat,12/22/18,Milan,0.7,0–1,0.4,Fiorentina,52592,Stadio Giuseppe Meazza,Maurizio Mariani
17,Sat,12/22/18,Chievo,0.6,1–1,1.7,Inter,22000,Stadio Marc'Antonio Bentegodi,Fabrizio Pasqua
17,Sat,12/22/18,Parma,0.9,0–0,0.3,Bologna,15058,Stadio Ennio Tardini,Rosario Abisso
17,Sat,12/22/18,Juventus,2.2,1–0,0.5,Roma,40069,Allianz Stadium,Davide Massa
,,,,,,,,,,
18,Wed,12/26/18,Frosinone,0.6,0–0,1.9,Milan,15217,Stadio Benito Stirpe,Marco Guida
18,Wed,12/26/18,Cagliari,0.9,1–0,0.8,Genoa,15777,Sardegna Arena,Daniele Orsato
18,Wed,12/26/18,Fiorentina,2.2,0–1,0.5,Parma,31767,Stadio Artemio Franchi,Michael Fabbri
18,Wed,12/26/18,Bologna,0.2,0–2,1.4,Lazio,19230,Stadio Renato Dall'Ara,Luca Pairetto
18,Wed,12/26/18,Atalanta,1.4,2–2,1.3,Juventus,19787,Stadio Atleti Azzurri d'Italia,Luca Banti
18,Wed,12/26/18,Sampdoria,1,2–0,0.6,Chievo,19190,Stadio Comunale Luigi Ferraris,Antonio Giua
18,Wed,12/26/18,Torino,1.3,3–0,0.3,Empoli,20047,Stadio Olimpico di Torino,Fabio Maresca
18,Wed,12/26/18,SPAL,0.7,0–0,0.2,Udinese,13195,Stadio Paolo Mazza,Daniele Doveri
18,Wed,12/26/18,Roma,2.8,3–1,0.8,Sassuolo,35893,Stadio Olimpico,Piero Giacomelli
18,Wed,12/26/18,Inter,0.8,1–0,0.8,Napoli,63946,Stadio Giuseppe Meazza,Paolo Mazzoleni
,,,,,,,,,,
19,Sat,12/29/18,Juventus,1.5,2–1,1.5,Sampdoria,40641,Allianz Stadium,Paolo Valeri
19,Sat,12/29/18,Chievo,1.1,1–0,0.6,Frosinone,8000,Stadio Marc'Antonio Bentegodi,Gianluca Rocchi
19,Sat,12/29/18,Genoa,0.5,0–0,1.3,Fiorentina,21000,Stadio Comunale Luigi Ferraris,Davide Massa
19,Sat,12/29/18,Sassuolo,1,2–6,3.2,Atalanta,8000,Stadio Città del Tricolore,Fabrizio Pasqua
19,Sat,12/29/18,Parma,0.7,0–2,2,Roma,17997,Stadio Ennio Tardini,Gianluca Manganiello
19,Sat,12/29/18,Empoli,0.6,0–1,1,Inter,10393,Stadio Carlo Castellani,Federico La Penna
19,Sat,12/29/18,Udinese,2.6,2–0,0.3,Cagliari,20000,Dacia Arena,Maurizio Mariani
19,Sat,12/29/18,Lazio,1.2,1–1,1.8,Torino,35000,Stadio Olimpico,Massimiliano Irrati
19,Sat,12/29/18,Napoli,1.5,3–2,0.7,Bologna,46585,Stadio San Paolo,Giampaolo Calvarese
19,Sat,12/29/18,Milan,1.3,2–1,0.4,SPAL,48070,Stadio Giuseppe Meazza,Rosario Abisso
,,,,,,,,,,
20,Sat,1/19/19,Roma,3.1,3–2,1,Torino,32978,Stadio Olimpico,Piero Giacomelli
20,Sat,1/19/19,Udinese,1.5,1–2,1.8,Parma,15000,Dacia Arena,Paolo Mazzoleni
20,Sat,1/19/19,Inter,1.1,0–0,1.3,Sassuolo,11000,Stadio Giuseppe Meazza,Luca Pairetto
20,Sun,1/20/19,Frosinone,0.7,0–5,2.1,Atalanta,12728,Stadio Benito Stirpe,Daniele Chiffi
20,Sun,1/20/19,SPAL,1,1–1,1.3,Bologna,14524,Stadio Paolo Mazza,Michael Fabbri
20,Sun,1/20/19,Fiorentina,2.6,3–3,1.9,Sampdoria,27844,Stadio Artemio Franchi,Marco Di Bello
20,Sun,1/20/19,Cagliari,0.9,2–2,1.4,Empoli,13796,Sardegna Arena,Fabrizio Pasqua
20,Sun,1/20/19,Napoli,1.8,2–1,1.2,Lazio,19448,Stadio San Paolo,Gianluca Rocchi
20,Mon,1/21/19,Genoa,1.7,0–2,1.3,Milan,19794,Stadio Comunale Luigi Ferraris,Daniele Orsato
20,Mon,1/21/19,Juventus,2.6,3–0,0.5,Chievo,30239,Allianz Stadium,Marco Piccinini
,,,,,,,,,,
21,Sat,1/26/19,Sassuolo,2.9,3–0,0.9,Cagliari,9970,Stadio Città del Tricolore,Massimiliano Irrati
21,Sat,1/26/19,Sampdoria,2.9,4–0,0.6,Udinese,18020,Stadio Comunale Luigi Ferraris,Davide Massa
21,Sat,1/26/19,Milan,0.9,0–0,0.7,Napoli,56729,Stadio Giuseppe Meazza,Daniele Doveri
21,Sun,1/27/19,Chievo,2.7,3–4,1.9,Fiorentina,10000,Stadio Marc'Antonio Bentegodi,Daniele Chiffi
21,Sun,1/27/19,Atalanta,2.6,3–3,1.1,Roma,19459,Stadio Atleti Azzurri d'Italia,Giampaolo Calvarese
21,Sun,1/27/19,Bologna,1.1,0–4,1.2,Frosinone,16076,Stadio Renato Dall'Ara,Luca Banti
21,Sun,1/27/19,Parma,2,2–3,2.3,SPAL,15297,Stadio Ennio Tardini,Rosario Abisso
21,Sun,1/27/19,Torino,0.7,1–0,0.8,Inter,22002,Stadio Olimpico di Torino,Fabio Maresca
21,Sun,1/27/19,Lazio,1.4,1–2,1.2,Juventus,60687,Stadio Olimpico,Marco Guida
21,Mon,1/28/19,Empoli,1.4,1–3,1.7,Genoa,7675,Stadio Carlo Castellani,Federico La Penna
,,,,,,,,,,
22,Sat,2/2/19,Empoli,2.1,2–2,1.6,Chievo,7030,Stadio Carlo Castellani,Marco Di Bello
22,Sat,2/2/19,Napoli,1.7,3–0,0.7,Sampdoria,19455,Stadio San Paolo,Luca Pairetto
22,Sat,2/2/19,Juventus,1.9,3–3,1.1,Parma,39548,Allianz Stadium,Piero Giacomelli
22,Sun,2/3/19,SPAL,0.5,0–0,0.5,Torino,12743,Stadio Paolo Mazza,Maurizio Mariani
22,Sun,2/3/19,Genoa,1.4,1–1,0.9,Sassuolo,18927,Stadio Comunale Luigi Ferraris,Gianluca Manganiello
22,Sun,2/3/19,Udinese,1.1,1–1,0.8,Fiorentina,18118,Stadio Benito Stirpe,Daniele Orsato
22,Sun,2/3/19,Inter,1.4,0–1,0.7,Bologna,51566,Stadio Giuseppe Meazza,Fabrizio Pasqua
22,Sun,2/3/19,Roma,1.6,1–1,0.7,Milan,37581,Stadio Olimpico,Fabio Maresca
22,Mon,2/4/19,Frosinone,0.8,0–1,1.2,Lazio,13221,Stadio Benito Stirpe,Michael Fabbri
22,Mon,2/4/19,Cagliari,0.9,0–1,0.5,Atalanta,14821,Sardegna Arena,Paolo Valeri
,,,,,,,,,,
23,Thu,2/7/19,Lazio,1.7,1–0,0.6,Empoli,28121,Stadio Olimpico,Daniele Chiffi
23,Fri,2/8/19,Chievo,1.4,0–3,1.4,Roma,15000,Stadio Marc'Antonio Bentegodi,Rosario Abisso
23,Sat,2/9/19,Fiorentina,0.8,0–0,2.3,Napoli,29377,Stadio Artemio Franchi,Giampaolo Calvarese
