Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
16,Sat,12/15/18,16:15 (10:15),Valladolid,0.9,2–3,1.7,Atlético Madrid,22585,Estadio Municipal José Zorrilla,Alberto Undiano,Match Report,
16,Sat,12/15/18,18:30 (12:30),Real Madrid,1,1–0,0.8,Rayo Vallecano,55229,Estadio Santiago Bernabéu,Ricardo de Burgos,Match Report,
16,Sat,12/15/18,20:45 (14:45),Eibar,1.4,1–1,2,Valencia,4491,Estadio Municipal de Ipurúa,Adrián Cordero,Match Report,
16,Sun,12/16/18,12:00 (06:00),Sevilla,2.6,2–0,0.8,Girona,33542,Estadio Ramón Sánchez Pizjuán,Guillermo Cuadra,Match Report,
16,Sun,12/16/18,16:15 (10:15),Espanyol,0.9,1–3,1.7,Betis,20275,RCDE Stadium,José Sánchez,Match Report,
16,Sun,12/16/18,18:30 (12:30),Huesca,3.7,2–2,1.5,Villarreal,6455,Estadio El Alcoraz,David Medié,Match Report,
16,Sun,12/16/18,20:45 (14:45),Levante,1.1,0–5,3,Barcelona,23736,Estadio Ciudad de Valencia,José González,Match Report,
16,Mon,12/17/18,21:00 (15:00),Alavés,0.4,0–0,0.3,Athletic Bilbao,19349,Estadio de Mendizorroza,Antonio Matéu Lahoz,Match Report,
,,,,,,,,,,,,,
17,Fri,12/21/18,19:30 (13:30),Girona,1.4,1–1,0.9,Getafe,8450,Estadi Municipal de Montilivi,Alberola Rojas,Match Report,
17,Fri,12/21/18,21:00 (15:00),Real Sociedad,1.1,0–1,0.5,Alavés,22431,Estadio Municipal de Anoeta,Javier Estrada,Match Report,
17,Sat,12/22/18,13:00 (07:00),Betis,1.5,1–1,2.2,Eibar,49426,Estadio Benito Villamarín,Carlos del Cerro,Match Report,
17,Sat,12/22/18,16:15 (10:15),Atlético Madrid,1,1–0,1.1,Espanyol,58069,Estadio Wanda Metropolitano,Mario Melero,Match Report,
17,Sat,12/22/18,18:30 (12:30),Barcelona,1.2,2–0,0.7,Celta Vigo,78686,Camp Nou,Eduardo Prieto,Match Report,
17,Sat,12/22/18,20:45 (14:45),Athletic Bilbao,1.2,1–1,0.5,Valladolid,42633,San Mamés,José Sánchez,Match Report,
17,Sun,12/23/18,12:00 (06:00),Valencia,2.7,2–1,1.9,Huesca,36547,Estadio de Mestalla,Jesús Gil,Match Report,
17,Sun,12/23/18,16:15 (10:15),Leganés,1,1–1,0.7,Sevilla,11321,Estadio Municipal de Butarque,Alejandro Hernández,Match Report,
17,Sun,12/23/18,18:30 (12:30),Rayo Vallecano,2,2–1,1,Levante,11206,Estadio del Rayo Vallecano,Ignacio Iglesias,Match Report,
17,Thu,1/3/19,21:30 (15:30),Villarreal,0.9,2–2,1.2,Real Madrid,19903,Estadio de la Cerámica,Pablo González,Match Report,
,,,,,,,,,,,,,
18,Fri,1/4/19,19:00 (13:00),Levante,1.5,2–2,1.3,Girona,19415,Estadio Ciudad de Valencia,Alberto Undiano,Match Report,
18,Fri,1/4/19,21:00 (15:00),Espanyol,1.3,1–0,0.4,Leganés,15085,RCDE Stadium,José González,Match Report,
18,Sat,1/5/19,13:00 (07:00),Valladolid,1.6,0–1,0.8,Rayo Vallecano,17261,Estadio Municipal José Zorrilla,Adrián Cordero,Match Report,
18,Sat,1/5/19,16:15 (10:15),Alavés,1.9,2–1,1.1,Valencia,18304,Estadio de Mendizorroza,David Medié,Match Report,
18,Sat,1/5/19,20:45 (14:45),Huesca,1.5,2–1,1.4,Betis,6135,Estadio El Alcoraz,Ricardo de Burgos,Match Report,
18,Sun,1/6/19,12:00 (06:00),Eibar,1.7,0–0,0.9,Villarreal,4141,Estadio Municipal de Ipurúa,Santiago Jaime,Match Report,
18,Sun,1/6/19,16:15 (10:15),Sevilla,1.5,1–1,0.8,Atlético Madrid,38603,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,Match Report,
